,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
5755,00:00,88.0,18.0,1,1,2021,12.0,0.0,32.0,1026.0,7.0,12.0,38.0,Partly cloudy
5756,03:00,88.0,18.0,1,1,2021,11.0,0.0,37.0,1026.0,10.0,15.0,23.5,Partly cloudy
5757,06:00,83.0,17.0,1,1,2021,10.0,0.0,33.0,1026.0,10.0,17.0,15.3,Partly cloudy
5758,09:00,73.0,16.0,1,1,2021,13.0,0.0,22.0,1027.0,12.0,15.0,12.1,Partly cloudy
5759,12:00,65.0,16.0,1,1,2021,17.0,0.0,12.0,1024.0,10.0,12.0,22.4,Partly cloudy
5760,15:00,69.0,17.0,1,1,2021,19.0,0.0,7.0,1021.0,7.0,9.0,42.6,Partly cloudy
5761,18:00,73.0,17.0,1,1,2021,18.0,0.0,5.0,1022.0,3.0,3.0,99.0,Partly cloudy
5762,21:00,83.0,18.0,1,1,2021,16.0,0.0,5.0,1024.0,6.0,10.0,132.1,Partly cloudy
5763,00:00,63.0,5.0,2,1,2021,14.0,0.0,7.0,1024.0,6.0,9.0,137.4,Partly cloudy
5764,03:00,62.0,3.0,2,1,2021,13.0,0.0,6.0,1023.0,3.0,4.0,52.4,Partly cloudy
5765,06:00,50.0,-1.0,2,1,2021,12.0,0.0,5.0,1024.0,4.0,6.0,234.0,Partly cloudy
5766,09:00,31.0,-4.0,2,1,2021,15.0,0.0,5.0,1024.0,5.0,6.0,344.8,Partly cloudy
5767,12:00,23.0,-5.0,2,1,2021,20.0,0.0,4.0,1021.0,4.0,4.0,201.9,Partly cloudy
5768,15:00,22.0,-4.0,2,1,2021,22.0,0.0,1.0,1018.0,6.0,7.0,128.2,Partly cloudy
5769,18:00,31.0,-1.0,2,1,2021,20.0,0.0,0.0,1018.0,10.0,12.0,127.3,Clear
5770,21:00,54.0,3.0,2,1,2021,18.0,0.0,0.0,1020.0,10.0,12.0,144.5,Clear
5771,00:00,67.0,4.0,3,1,2021,17.0,0.0,0.0,1020.0,7.0,8.0,135.2,Clear
5772,03:00,76.0,5.0,3,1,2021,15.0,0.0,10.0,1020.0,6.0,8.0,90.2,Clear
5773,06:00,82.0,6.0,3,1,2021,13.0,0.0,47.0,1021.0,6.0,10.0,260.3,Partly cloudy
5774,09:00,67.0,6.0,3,1,2021,15.0,0.0,85.0,1023.0,8.0,11.0,348.2,Partly cloudy
5775,12:00,34.0,2.0,3,1,2021,17.0,0.0,84.0,1021.0,8.0,10.0,126.4,Overcast
5776,15:00,28.0,1.0,3,1,2021,17.0,0.0,79.0,1019.0,10.0,13.0,39.9,Cloudy
5777,18:00,34.0,1.0,3,1,2021,14.0,0.0,81.0,1021.0,7.0,10.0,59.7,Cloudy
5778,21:00,55.0,4.0,3,1,2021,8.0,0.0,84.0,1022.0,5.0,7.0,36.5,Cloudy
5779,00:00,63.0,5.0,4,1,2021,15.0,0.0,58.0,1022.0,4.0,6.0,71.0,Cloudy
